;;;;;;;;;REGISTRO DE INGRESOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Codigo
Cliente";Ciudad;Zona;"Nombre Comercial o 
Nombre del Cliente";CodigoVendedor;Vendedor;ene-22;feb-22;mar-22;abr-22;may-22;jun-22;jul-22;ago-22;sep-22;oct-22;nov-22;dic-22;Total 2022;ene-23;feb-23;mar-23;abr-23;may-23;jun-23;jul-23;ago-23;sep-23;oct-23;nov-23;dic-23;Total 2023;ene-24;feb-24;mar-24;abr-24;may-24;jun-24;jul-24;ago-24;sep-24;oct-24;nov-24;dic-24;Total 2024;ene-25;feb-25;mar-25;abr-25;may-25;jun-25;jul-25;ago-25;sep-25;Total 2025;Total General
1188;La Paz;12 DE OCTUBRE;FERRETERIA NELMAR;15;ROLY CHALCO;246.49;158.62;178.1;0.0;0.0;164.89;218.93;186.61;196.15;286.33;127.45;164.11;1927.68;196.13;318.68;215.16;0.0;0.0;0.0;0.0;207.83;0.0;0.0;143.59;199.86;1281.25;0.0;300.02;197.56;311.43;374.98;159.02;279.28;346.83;312.92;247.82;0.0;215.63;2745.48;0.0;242.51;183.56;0.0;0.0;96.8;124.95;246.64;187.54;1082.0;7036.41
628;La Paz;12 DE OCTUBRE;FERRETERIA HORIZONTE;15;ROLY CHALCO;59.42;63.74;81.69;0.0;52.63;58.91;49.32;110.34;68.0;59.78;124.17;56.63;784.64;89.02;94.37;51.05;84.77;187.48;69.14;65.38;116.5;155.18;154.66;82.14;69.16;1218.85;93.78;85.05;75.51;106.85;92.27;72.46;66.83;45.37;128.8;59.22;83.45;74.17;983.76;0.0;98.69;102.97;83.62;0.0;94.18;71.21;92.62;126.48;669.78;3657.03
975;La Paz;12 DE OCTUBRE;FERRETERIA NAYERLY 12 DE OCTUBRE;15;ROLY CHALCO;204.18;0.0;0.0;143.7;236.08;148.76;0.0;178.47;0.0;0.0;127.08;164.76;1203.02;0.0;381.32;285.93;280.05;170.39;121.8;149.08;0.0;0.0;214.64;225.48;209.5;2038.2;219.77;219.38;212.1;180.06;305.05;158.73;120.54;241.42;177.4;202.18;288.57;100.99;2426.19;218.13;270.97;291.39;173.93;249.64;191.63;0.0;178.16;438.11;2011.96;7679.38
990;La Paz;12 DE OCTUBRE;FERRETERIA NUEVA CASA;15;ROLY CHALCO;0.0;257.91;0.0;175.72;196.73;116.28;0.0;245.36;128.73;0.0;0.0;140.43;1261.16;200.78;302.08;263.76;0.0;0.0;0.0;195.01;241.57;0.0;0.0;120.15;124.39;1447.75;0.0;91.8;156.63;300.04;223.87;0.0;173.61;170.58;230.58;0.0;136.21;80.75;1564.08;119.67;167.24;254.93;0.0;0.0;123.42;185.25;238.0;230.57;1319.08;5592.07
1244;La Paz;12 DE OCTUBRE;FERRETERIA ALFA Y OMEGA;15;ROLY CHALCO;174.89;156.24;137.93;172.65;257.42;228.52;0.0;205.24;0.0;180.04;203.29;160.08;1876.28;246.13;0.0;190.29;394.49;221.08;0.0;132.18;361.57;349.98;138.01;208.29;254.89;2496.92;251.51;317.45;177.31;114.08;322.03;95.94;183.0;313.44;583.03;86.8;351.47;161.63;2957.68;178.26;204.7;160.15;138.66;214.31;56.8;214.51;222.62;270.68;1660.67;8991.55
3445;La Paz;12 DE OCTUBRE;WATT;15;ROLY CHALCO;229.21;237.57;510.08;193.28;329.28;280.66;205.27;210.95;423.09;193.5;421.12;285.92;3519.92;443.92;0.0;484.74;714.09;430.56;180.14;400.22;488.66;342.16;587.51;410.13;407.4;4889.53;397.46;417.94;381.29;489.9;398.93;480.41;501.81;400.9;371.6;466.55;775.81;229.98;5312.58;456.23;484.14;524.75;352.28;324.34;302.85;151.36;443.34;497.08;3536.37;17258.39
1366;La Paz;12 DE OCTUBRE;CASA DE PINTURAS YAWY;15;ROLY CHALCO;0.0;0.0;8.64;11.54;6.56;16.35;10.77;0.0;18.48;12.28;13.47;10.75;108.83;0.0;0.0;23.43;0.0;26.68;22.19;0.0;0.0;0.0;14.62;16.94;32.72;136.57;0.0;12.07;0.0;10.84;19.06;31.0;22.63;27.7;25.69;7.72;0.0;13.12;169.82;17.93;15.71;26.02;25.81;29.46;8.31;11.89;26.16;37.56;198.84;614.06
626;La Paz;12 DE OCTUBRE;FERRETERIA JEHOVA 2;15;ROLY CHALCO;123.78;76.17;138.16;0.0;0.0;0.0;60.8;0.0;0.0;52.3;93.13;0.0;544.33;120.41;220.56;0.0;235.42;141.73;131.23;0.0;132.2;236.65;0.0;109.58;119.02;1446.8;116.74;148.13;149.27;0.0;246.47;128.26;61.24;102.17;150.48;219.3;175.63;0.0;1497.69;156.46;135.82;82.84;100.63;137.13;94.68;44.48;182.31;144.47;1078.82;4567.63
663;La Paz;12 DE OCTUBRE;FERRETERIA MAYA;15;ROLY CHALCO;130.16;112.96;135.42;84.25;0.0;109.24;101.43;112.52;128.93;76.28;138.35;96.04;1225.58;114.8;147.45;105.94;166.2;164.92;153.66;159.83;231.22;143.05;237.0;201.22;172.33;1997.62;0.0;133.02;146.13;263.77;323.06;159.1;127.25;156.73;130.47;86.04;94.2;191.61;1811.38;139.16;139.79;120.92;165.6;129.37;67.29;98.48;148.11;175.86;1184.59;6219.17
2634;La Paz;12 DE OCTUBRE;FERRETERIA SARITA ( 12 DE OCTUBRE);15;ROLY CHALCO;183.74;128.28;0.0;0.0;117.36;78.92;70.02;208.48;392.5;192.59;150.38;136.69;1658.98;114.09;0.0;229.83;245.14;424.05;231.25;139.21;197.86;313.22;158.93;266.5;179.69;2499.76;138.12;207.56;274.38;189.48;167.69;161.22;171.85;291.61;253.31;100.91;231.47;191.35;2378.96;148.25;217.34;170.04;195.06;128.98;130.51;138.4;188.61;139.48;1456.66;7994.37
